Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
865,0,0,1,Step,45  41   7,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,1.4752,0.068265,0.0061211,,
866,0,0,1,Step,45  41   7,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,2.6983,0.13184,0.012452,,
867,0,0,1,Step,45  41   7,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,5.1923,0.26555,0.025759,,
868,0,0,1,Step,31  17  52,1,1,15,5,20,,no fault,45  47  52  31  38,45  47  52  38  36,1.2573,0.062618,0.0064157,,
869,0,0,1,Step,31  17  52,1,1,15,5,20,,no fault,45  47  52  31  38,45  47  52  38  36,2.2614,0.11995,0.012991,,
870,0,0,1,Step,31  17  52,1,1,15,5,20,,no fault,45  47  52  31  38,45  47  38  52  36,4.3155,0.24113,0.026648,,
871,0,0,1,Step,25  41  52,1,1,15,5,20,,no fault,45  47  52  41  38,45  47  52  38  41,1.2573,0.062618,0.0064157,,
872,0,0,1,Step,25  41  52,1,1,15,5,20,,no fault,45  47  52  41  38,45  47  52  38  41,2.2615,0.11995,0.012991,,
873,0,0,1,Step,25  41  52,1,1,15,5,20,,no fault,45  47  52  41  38,45  47  38  52  41,4.3157,0.24114,0.026649,,
874,0,0,1,Step,36  41  52,1,1,15,5,20,,no fault,45  52  47  41  36,52  45   7  41   6,1.2528,0.057289,0.0053287,,
875,0,0,1,Step,36  41  52,1,1,15,5,20,,no fault,52  45  41  47  36,52   7   6  41  14,2.1659,0.10323,0.010563,,
876,0,0,1,Step,36  41  52,1,1,15,5,20,,no fault,52  41  45  47   7,7  52   6  14   2,3.7906,0.20381,0.021628,,
877,0,0,1,Step,36  22  38,1,1,15,5,20,,no fault,45  47  38  36  22,45  47  52  38  31,1.2573,0.062617,0.0064156,,
878,0,0,1,Step,36  22  38,1,1,15,5,20,,no fault,45  47  38  36  52,45  47  52  38  31,2.2614,0.11995,0.012991,,
879,0,0,1,Step,36  22  38,1,1,15,5,20,,no fault,45  47  38  36  52,45  47  52  31  38,4.3154,0.24112,0.026647,,
880,0,0,1,Step,2  17   6,1,1,15,5,20,,no fault,45  47  38  17  31,45  47  38  52  31,1.9088,0.10731,0.013822,,
881,0,0,1,Step,2  17   6,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  52,3.7627,0.22644,0.029587,,
882,0,0,1,Step,2  17   6,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  25,8.6366,0.52688,0.068573,,
